ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
22052113	30.165572	-90.776636	1.226	1259.7	-651.0	-426.5	36.8	37.6	43.2	2022	5	21	23	32	56.44	-1.33	0	0	99	0	-9.0	0.026	1
22052115	30.150907	-90.781673	4.56	774.6	-2276.8	2907.8	83.0	69.2	50.9	2022	5	21	23	40	31.78	-0.51	0	0	14	0	-9.0	0.021	1
22052116	30.167295	-90.792326	1.825	-251.6	-460.1	173.1	39.2	44.1	49.2	2022	5	21	23	43	25.76	-1.72	0	0	139	0	-9.0	0.021	1
22052117	30.175653	-90.783708	1.559	578.5	466.3	-93.7	27.2	32.0	32.2	2022	5	21	23	57	31.04	-1.88	0	0	136	0	-9.0	0.021	1
22052118	30.172854	-90.783317	2.367	615.8	156.0	714.7	52.8	54.7	44.6	2022	5	21	23	58	20.2	-1.3	0	0	94	0	-9.0	0.024	1
22052201	30.186237	-90.772192	3.349	1687.5	1639.6	1696.3	57.0	53.6	49.9	2022	5	22	0	1	5.33	-1.07	0	0	124	0	-9.0	0.025	1
22052202	30.170911	-90.781396	0.404	800.9	-59.3	-1247.8	30.8	40.3	43.9	2022	5	22	0	9	19.36	-2.32	0	0	33	0	-9.0	0.014	1
22052203	30.176211	-90.785677	1.975	389.0	528.2	323.0	46.5	31.9	40.6	2022	5	22	0	9	19.79	-1.33	0	0	139	0	-9.0	0.022	1
22052204	30.178444	-90.790861	1.277	-110.5	775.8	-375.4	29.6	29.3	39.5	2022	5	22	0	13	8.7	-2.11	0	0	79	0	-9.0	0.024	1
22052205	30.166624	-90.774878	1.969	1428.7	-534.5	316.3	38.4	42.1	43.7	2022	5	22	0	14	25.05	-1.88	0	0	95	0	-9.0	0.023	1
22052206	30.15427	-90.778939	1.905	1038.2	-1903.9	252.7	73.5	66.3	96.1	2022	5	22	0	16	30.76	-1.95	0	0	57	0	-9.0	0.024	1
22052208	30.175059	-90.782585	2.176	686.3	400.5	523.8	33.5	46.0	46.3	2022	5	22	0	16	43.24	-1.68	0	0	182	0	-9.0	0.025	1
